a few;کمی
circumspect;مال اندیش ، ملاحظه کار
circumstance;چگونگی
circumstances;شرایط ، مقتضیات ، قضایا
circumstantiality;کیفیات
circumvolution;دورزنی ، دورگردی
circumvolve;مارپیچ رفتن
circus;سیرک ، میدان ، چالگاه ، جولانگاه
cirque;میدان کوچک
cirrus;ابرطرهای
cistern;مخزن آب ، منبع
citable;قابل ذکر
citadel;قلعه نظامی ، ارک
citation;تقدیر رسمی ، نقل قول ، نقل قول
cite;اتخاذ سند کردن ، اقتباس کردن
cite a proverb;تمثل کردن
cities;مدائن ، مدن ، بلاد
citing a proverb;تمثل
citizen;شهروند ، تبعه ، تابع ، اهل
citizens;اتباع
citizenship;تابعیت ، تبعیت
citrate;سیترات
citric acid;جوهر آبلیمو ، اسیدسیتریک ، جوهر لیموترش
city;شهر ، شهری
city council;انجمن شهر ، شورای شهر
city dweller;شهرنشین
civil;مدنی ، کشوری ، خانگی ، حقوقی
civil engineer;مهندس راه و ساختمان
civil law;حقوق مدنی
civil rights;حقوق مدنی
civil servant;مستخدم دولتی
civil war;جنگ داخلی
civilian;غیرنظامی ، غیر نظامی ، شخصی
civility;نزاکت
civilization;مدنیت ، تمدن
civilize;متمدن کردن
civilized;متمدن
ckicken pox;آبله مرغان
cladding;آب فلزی
claim;داعیه ، طلب ، مدعا ، مطالبه ، ادعاء ، مدعی شدن ، دعوی کردن ، ادعا کردن ، ادعا شدن ، مدعی بودن ، ادعا
claimable;قابل مطالبه
claimant;مدعی ، ادعا کار ، مطالبه کننده
claims;مطالبات ، دعاوی
clairvoyant;نهان بین
clam;گوشت صدف
clammy;بی حرارت ، سرد ومرطوب
clamor;سروصدا ، غریو کشیدن ، مصرانه تقاضا کردن ، بجوش وخروش آمدن ، سروصدا راه انداختن
clamorous;خروشان ، پرخروش ، غوغائی ، جیغ ودادکن
clamp;گیره ، سوزن بند ، پشت بند زدن
clan;قبیله ، طایفه
clandestine;غیرمشروع
clang;صدای شیپور
clans;قبایل ، عشایر ، طوایف
clap;کف زدن ، صدای ناگهانی ، دست زدن ، صدای دست زدن
clapper;کف زننده
clarification;تبیین
clarify;واضح کردن
clarion;شیپور تیز ، شیپور تیز
clarity;نظم وترتیب ، تمیزی ، وضوح ، روشنی
clark;کلارک
clary;راوید
clash;بر خوردن ، برهم زدن ، به زد و خورد پرداختن ، تصادم شدید کردن ، تصادم ، تضاد داشتن ، درگیر شدن ، بهم خوردن
clasp;سرچسب ، جفت چپراست
clasper;پیچنده
class;رسته ، سلک ، طبقاتی ، سنخ ، صنف ، طبقه ، دانشپایه ، کلاس
classes;صنوف
classification;طبقه بندی ، دسته بندی ، زینه بندی ، رده بندی
classify;خانه خانه کردن ، طبقه بندی کردن ، دسته بندی کردن ، رده بندی کردن ، جور کردن ، درجهبندی کردن
classmate;هم آموزگان ، هماموز ، همشاگردی ، همدرس ، همکلاس
classroom;اتاق درس ، کلاس درس
classy;درجه یک
clatter;زغ زغ کردن
clattering;زغ زغ
clause;ماده
claustral;صومعه نشین
claustrophobic;تنگنا ترس
clavate;چماقی
claw;سرپنجه جانوران ، پنجه ، پنجول ، پنجه انداختن ، چنگ ، چنگال
claw-like;پنجهای شکل
clawed;چنگ زدن
claws;رصن ، چنگال
clay;گل رست ، گل ، طین ، رست ، خاک رست ، رس ، سفال
clay wall;چینه
clayish;سفالی
clean;نقی ، نظیف کردن ، پاکیزه کردن ، بدون آلودگی ، چرک گرفتن ، تروتمیز ، نظیف ، چرک کردن ، تمیز کردن ، تنظیف کردن ، بی گند ، طاهر ، پاکیزه ، تمیز ، بی آلایش ، پاک ، صریح ، زدودن ، صریح
clean copy;پاک نویس ، پاک نویس
clean up;پاک کردن ، جمع و جور کردن
cleaned;پاک کرده ، پاک شده
cleaned with sand;ریگمال
cleanedness;پاک شدگی
cleaner;زداینده ، زداینده ، تمیز کننده ، پاک کننده ، پاک کننده
cleaning;زدایش ، تمیز کاری ، رفت و روب ، پاک سازی
cleanliness;نظافت ، پاکی ، طهارت
cleanness;طهر ، صفا ، تمیزی ، زدودگی ، پاکیزگی
cleanse;تطهیر کردن
cleanser;زدای
cleansing;پاکسازی
clear;عیان ، مبرهن ، صاف ، ساطع ، صاف کردن ، معلوم ، نامبهم ، ناب ، واضح ، ترخیص کردن ، غیرمبهم ، مشهود ، متجلی ، منجلی ، گویا ، جلی ، صریح ، مبین ، شفاف ، بیضاء ، فصیح ، زلال ، روشن ، صریح
clear the throat;سینه ساف کردن
clear writing;خط واضح
clear-sighted;بینا
clear-sighted person;صاحبنظر
clearance;برائت ذمه ، مفاصا
cleared;زدوده ، منقی
clearing;مکان مسطح
clearness;روشنی ، عیانی ، صافی
cleavable;قابل شکافته شدن ، رخ پذیر
cleavage;عمل شکافتن ، رخ ، شکافتگی
cleave;شکافتن سلول
cleaver;ساطور ، ساتور
cleft;شکاف دار
cleft grafting;پیوند غلافی
clematis;دالیه سوداء
clemency;اعتدال عناصر
clench;گره کردن
clenched fist;مشت گره کرده
clergy;مردروحانی ، روحانیون ، کاتوزی
clergyman;روحانی ، مجتهد
clerical;دفتری
clerical office;کار دفتری
clerical work;کار دفتری
clerk;کارمند دفتری ، متصدی
clerk;کلرک
clerkly;ادیبانه
clever;شاطر ، زرنگ ، باهوش ، هشیار ، زبر و زرنگ ، هفت خط ، با استعداد ، ناقلا ، زبا ، ناقلا ، زیرک ، مرد رند ، هژیر
clever people;ضرفا
cleverly;بزیرکی ، زیرکانه
cleverness;زرنگی ، حذاقت ، هشیاری ، کیاست
clew;گلوله نخ ، گلوله کردن
click;صدای مختصر ، تیک
client;موکل ، ارباب رجوع
cliff;پرتگاه ، صخره
clift;شکاف دار
climate;اقلیم ، آب و هوا ، آب وهوا
climatic;اوجی
climatology;اقلیم شناسی
climax;بهاوج رسیدن ، منتها درجه ، اوج
climb;صعود کردن
climb a tree;از درخت بالا رفتن
climber;صعود کننده
clinch;قاطع ساختن ، مشت کردن
clinch fist;مشت گره کردن
clinched fist;مشت گره کرده
clincher;قیچی کننده
clinching;گلاوی
cling;چسبیدن
clinic;مطب ، درمانگاه ، درمانکده
clinical;بالینی
clinical medicine;طب بالینی ، پزشکی بالینی
clinker;آجر کاشی
clinquant;پرزرق وبرق
clinton;کلینتون
clip;گیره
clip nails;ناخن چیدن
clipped;چیده
clipper;قیچی باغبانی ، طیاره تندرو
clipping;جمع در
clipping circuit;مدارکوتاه کننده
clitorial;بظری
clitoris;چو چوله ، بظر ، چوچوله
cloak;درلفافه پیچیدن ، عبا ، شنل ، جبه ، ردا ، رداء
clock;زمانسنج ، ساعت دیواری
clock generator;ساعت زا
clock interrupt;وقفه زمان سنجی
clocklike;ساعتی
clockwise;درجهت ساعت
clog;گرفتگی ، گیر ، زیادی پرکردن
clogged;باز نشدنی ، گرفته
clogged milk;شیر لخته شده
cloister;در صومعه گذاشتن
clone;مشابه
cloning;مشابه سازی
cloot;شکاف سم
close;بستن ، تنگ هم ، مقارن ، تعطیل کردن ، مسدود بستن ، تعطیل شدن ، بسته شدن
close shave;ته تراش
close to;نزدیک ، قریب به ، مشرف
close up;تخته کردن
close-up;از جلو
closed;سربسته ، تعطیل ، مسدود شدن ، دربسته ، مسدود ، مغلق ، بی روزنه ، بسته
closed circuit;مداربسته
closed circuit television;تلویزیون مدار بسته
closed sea;دریای بسته ، دریای غیر آزاد
closed session;غیرعلنی
closed shop;سیستم بسته
closed subroutine;زیرروال بسته
closefisted;ناخن خشک
closeness;نزدیکی ، تقریب
closet;پستو ، قفسه ، صندوق خانه ، گنجه
closing;برچیدگی
closing speech;نتق اختتامی
closure;بستار
clot;علقه ، لخته ، لخته شدن ، لخته خون
cloth;پارچه
cloth dealing;بزازی
cloth hanger;جالباسی
cloth shop;بزازی
cloth-covered;ماهوتی
cloth-dealer;بزاز
cloth-weaver;پارچه بافته ، پارچه باف ، پارچه باف
cloth-weaving;پارچه بافی
clothes;تن پوش ، ملبوس ، رخت
clothes hanger;جارختی ، جا لباسی ، جا رختی
clothes rack;جا لباسی ، جارختی
clothes tree;رخت آویز
clothes-rack;چوب رخت
clothesbrush;ماهوت پاک کن ، ماهوت پاک ک
clothesline;رجه
clothier;لباس فروش
clothing;پوشاک ، پوشیدنی ، لباس ، پوشاکی
clothing store;لباس فروشی
cloud;توده ابر ، ابر دار کردن ، ابری شدن ، ابری کردن ، میغ ، ابر ، سحاب
cloudburst;رگبار
cloudless;بدون ابر ، بی ابر
cloudy;میغی ، ابر آلود ، ابر دار ، ابری
cloven;شکاف دار
clover;شبدر
cloverleaf;برگ شبدر
clown;دلقک ، دلقک شدن ، الدنگ ، لودگی کردن ، دلقک
clowns;الواط
club;خاج ، باچماق زدن ، چماق زدن ، کلوپ ، کوپال ، کانون ، باشگاه ، گرز ، چماق ، مجمع
clubhouse;پانسیون عزبها
cluck;مرغ قپ ، مرغ کرچ ، غد غد کردن ، قدقد کردن
clucking;غد غد
clue;مدرک ، سر نخ
clump;ضربه سنگین ، انبوه کردن
clumsily;شلخته وار ، ناشیانه
clumsiness;ناشیگری ، بی عرضگی
clumsy;بی عرضه ، ناشی
cluster;خوشه مانند
clutch;چنگ
cluth;چنگک
clutter;درهم وبرهمی ، درهم ریختن ، درهم ریختگی
cnn;سیانان
co-owner;مالک مشترک
co-worker;همکار
coacervate;کومه شده
coach;مربی ، مربی ، واگن راه آهن ، مربی ورزش ، کالسکه
coach maker;مبل ساز
coach making;مبل ساز
coachman;کالسکهچی ، درشکهچی
coact;باهم نمایش دادن ، همکنش کردن
coaction;همکنش
coadjutor;یاری کننده
coadunate;بهم چسبیده
coagulable;انعقاد پذیری ، انعقاد پذیر
coagulant;منعقد کننده
coagulate;منعقد کردن ، دلمه کردن ، دلمه شدن ، منعقد ساختن
coagulated;منعقد
coagulated blood;خون بسته
coagulation;لختگی ، انعقاد ، انعقاد شیر
coagulum;خون بسته
coal;ذغال سنگ ، زغال سنگ ، زغال کردن
coal dust;خاکه زغال
coal hod;جا زغالی
coal mine;کان زغال
coal miner;کارگر زغال
coal mining;استخراج زغال
coal-rich;زغال خیز
coalition;اتحاد موقتی ، ائتلاف
coarctation;تنگی مهبل
coarse;بی لطافت ، درشت ، زبر
coarsely woven;درشت بافت
coarsen;زمخت کردن ، زمخت شدن
coarseness;زبری ، غلاذت ، درشتی ، بی لطافتی
coast;کنار دریا ، دریاکنار ، کرانه ، ساحل ، ساحل دریا ، سرازیر رفتن
coastal;ساحلی ، دریاکناری
coastline;خط ساحل
coastward;درامتداد ساحل
coastwards;درامتداد ساحل
coat;کت ، پوشش دار کردن ، روکش کردن
coat with zinc;روی اندود کردن
coated;روکشدار
coating;روکش ، کپسول
coax;چرب زبانی کردن ، ریشخند کردن
coaxial cable;کابل هم محور
coaxing;ریشخند
cob;کاهگلی
cobalt;کوبالت ، فلز لاجورد
cobble;پینه دوزی کردن
cobbler;پینه دوز
cobblestone;سنگفرش
cobbling;پینه دوزی ، پینه دوز
cobol;زبان کوبول
cobra;مار کبرا ، مار عینکی
cocaine;کوکائین
coccyx;دنبال چه ، دنبلیچه
cocentric;هم مرکز
cochlea;حلزون ، حلزونی گوش
cock;یک وری کردن ، کج نهادن ، خروس
cock fighter;مرغ باز
cock fighting;خروس جنگی ، مرغ باز
cockerel;خروسک
cockney;لهجه لندنی
cockpit;کابین
cockroach;سوسک
cockscomb;تاج خروس ، زلف عروسان
cockshot;نشانه روی
cockshy;نشانه روی
cocky;ازخودراضی
cocoa;کاکائو
coconsciousness;آگاهی ثانوی
coconut;نارگیل
cocoon;پیله ، غوزه
cod;نوعی ماهی ، غلاف سبوس ، کیسه کوچک
coddle;نیم پزکردن
code;رمزی کردن ، رمز کردن ، برمز درآوردن ، رمز ، مجمع القوانین
code book;کتاب رمز
code distance;فاصله رمز
code element;عنصر رمز
code holes;سوراخهای رمز
code set;مجموعه رمز
code value;ارزش رمز
code vector;بردار رمز
code word;کلمه رمز
coded;رمزی
coded telegraph;تلگراف رمز
codein;کدئین
codes;رموز
codex;نسخه قدیمی
codified;مدون
codified laws;حقوق مدون
codify;مدون ساختن
coding;رمز گذاری
codliness;نفاست
coecum;پوکان
coeducational;پسرانه ودخترانه
coefficient;ضریب
coerce;ناگزیر کردن
coercion;اجبار ، اخذ بزور ، عنف
coercively;عنفا
coeternal;ابدی وازلی ، مثل خدا
coeval;هم تاریخ ، هم سن
coexist;همزیستی کردن
coexistence;همزیگری ، همزیستی
coexistent;هم ذات
coffee;درخت قهوه ، قهوه
coffee table;میز پیش دستی
coffeehouse;کافه کوچک
coffeepot;قهوه ریز
cofferdam;سدصندوقی ، بستاب
coffin;تابوت
cogency;قدرت عقیده
cogitable;قابل تفکر
cognac;کنیاک
cognation;قرابت فطری
cognition;ادراک
cognizable;قابل درک
cognoscente;عتیقه شناس
cogwheel;چرخ دنده
cohabit;هم بستر شدن
cohabitant;بغل خواب
cohabitation;همخوابگی ، هم بستری
coheir;شریک الارث
cohen;کوهن
coherence of subject;ارتباط موضوعات
coherent;منسجم
cohesion;هم بستگی ، التصاق ، جاذبه مولکولی
coif;گیسوپوش ، عرقچین سفید
coil;بوبین
coin;سکه ، سکه زدن
coinage;ابداع واژه ، مسکوکات
coincide;مصادف شدن ، منطبق شدن ، متصادف بودن ، باهم رویدادن
coincide with;منطبق شدن
coincidence;تصادف
coincident;همرویده ، منطبق ، مصادف
coinciding;منطبق ، متصادف
coining;ضرب
coinsurance;بیمه مشترک
coital;کوکتل
coitus;مقاربت جنسی
coke;کوکا
colander;صافی ، سماق پالان ، صاف کن
colchester;کولچستر
colcothar;گل اخرا
cold;چاییمان ، چایمان ، زکام ، بی حرارت ، سردشدن یا کردن ، سردسیر ، نزله ، سرد ، سرماخوردگی ، بدون احساسات ، سرما
cold food;حاضری
cold storage facility;سردخانه
cold war;جنگ سرد
cold-blooded;خونسرد
cold-bloodedness;خونسردی
cold-hearted;بی عاطفه ، مرده دل
cold-heartedness;بی عاطفگی
coldness;برودت ، سردی ، نامهربانی ، سردمزاجی
colin powell;کولین پاول ، کولن پاول
collaborate;باهم کار کردن
collaboration;تشریک مساعی ، همکاری ، همدستی
collaborator;همدست
collagen;چسبزا
collapse;هوار ، فروریختگی ، فروپاشی ، از پا افتادن ، رمبیدن ، فرو پاشیدن ، فرو ریختن
collar;قلاده ، گردن بند ، یقه ، یخه ، طوق ، گریبان
collared;طوق دار
collation;مقایسه ، مطابقت
colleague;هم قطار ، همقطار ، هم پیشه ، همکار ، همپایه
collect;جمع کردن ، اخذ کردن ، تدوین کردن
collect relief funds;اعانه جمع آوری کردن
collectable;وصولی
collected;مدون
collecting;تالیف ، جماوری ، جمع آوری
collection;کلکسیون ، گرداوری ، مجموعه ، گردآوری ، تدوین ، وصول ، منظومه
collective;دسته جمعی ، اشتراکی ، جمعی
collective farm;مزرعه اشتراکی
collective noun;اسم جمع
collectively;اجماعا ، دسته جمعی ، مجتمعا
collectivity;مالکیت اشتراکی
collector;جمع کننده ، فراهم آورنده ، مامور وصول ، گرد آورنده ، کلکسیونر ، جمع کن ، مجموعه دار
college;دانشکده ، کالج ، دانشسرا
college graduate;لیسانسیه ، لیسانسیه
college of translation;مدرسه عالی ترجمه ، مدرسه ترجمه
college or university;دارالعلم
collegiate;دانشکدهای
collenchyma;بافت کلانشیم
colleotor;جریان روب ، جمع آورنده
collide;تلاطم کردن ، خوردن ، تصادف کردن ، بهم خوردن ، برخورد کردن
colliding;مصادم
collie;تصادم کردن
collimator;موازی ساز
collision;مصادمت ، اصابت ، تصادم ، برخورد
collission;بهم خوردگی
collocation;نوبت وترتیب
collogue;محرمانه گفتگو کردن ، موافقت دروغی کردن
colloquial;مصطلح ، اصطلاحی
colloquialism;زبان عامیانه
colloquist;اهل محاوره
collude;گاوبندی کردن ، دست یکی کردن ، تبانی کردن
collusion;هم نیرنگ ، تبانی ، مواضعه ، گاوبندی ، بند و بست ، دست یکی ، بست وبند
collyrium;سرمه
collywobbles;درد دل
colocynth;حنظل
colombo;کلمبو
colombus;کلمبوس
colon;دونقطه ، نشان دونقطه
colon cancer;سرطان روده بزرگ
colonel;کلنل ، سرهنگ ، سرهنگ
colonial;مستعمراتی
colonialism;سیاست مستعمراتی ، استعمار
colonies;مستعمرات
colonization;استعمار
colonize;استعمار کردن
colonnade;ستون بندی
colony;مستعمره ، مستملکات ، مهاجر نشین
color;رنگ ، ملون کردن ، تغییر رنگ دادن ، رنگ آمیزی کردن ، فام
color film;فیلم رنگی
color photograph;عکس رنگی
color scheme;رنگ بندی
color variation;اختلاف رنگ
colorado;کلرادو
colored;ملون ، رنگین پوست ، چرده ، ملون ، رنگی
colored person;رنگین پوست
colorful;پر رنگ ، رنگی ، رنگارنگ ، خوش رنگ
coloring;ملون ، ملون ، تلوین
colorless;کم رنگ ، غیر جالب ، بی رنگ
colors;الوان
colosseum;میدان ورزش
colostrum;ماک ، آغوز
colourless;کم رنگ ، غیر جالب
colportage;دتسفروشی
colt;نوعی طپانچه ، شخص ناآزموده
columbia;کلمبیا
column;ستون ، عمود
columnar;ستونی
columnless;بی ستون
coma;اغماء ، اغماء ، بیهشی
comact disk;سیدی
comatant;مایل بجنگ
comate;ریشه ای
comb;شانه کردن ، خار کردن ، قشو کردن ، شانه
combat;حرب ، مبارزه ، مصاف ، مصاف کردن
combatant;رزمنده
combative;جنگجو
combativeness;جنگجویی
combinability;قابلیت ترکیب
combination;ترکیب ، اختلاط
combinational circuit;مدار ترکیبی
combine;ترکیب شدن ، ادغام ، آموخته کردن ، آمیختن
combined;آمیخته
combiner;تلفیق کننده
combining;تلفیقی ، تلفیق
comblike;شانهای
combust;محترق شدن
combustibility;قابلت احتراق ، احتراق پذیری
combustible;قابل احتراق ، آتشگیر ، احتراق پذیر ، سوزا
combustion;سوزش ، احتراق ، سوخت
come;آمدن
come about;بانجام رسیدن
come across;بر خوردن
come along;جلو رفتن
come and go;آمد و رفت کردن
come down;نزول کردن ، بزیر آمدن
come forward;جلو آمدن
come in handy;بکار آمدن
come in to operation;کار افتادن
come late;دیر رسیدن
come off;ور آمدن
come on;زکی
come out;در آمدن ، بیرونآمدن ، بیرون آمدن
come through;طی شدن
come to a halt;از کار ایستادن
come to one s senses;بحال آمدن
come to one's senses;بحال آمدن
come true;راست آمدن
come up;به میان آمدن ، بر آمدن ، پیش آمدن ، برآمدن
comedy;نمایش خنده دار ، شاد نمایش ، کمدی
comeliness;خوش منظری
comely;خوش منظر
comet;ستاره دنباله دار ، ذوذنب
comeuppance;توبیخ بجا
comfort;آسایش دادن ، نعمت ، مایه تسلی ، تسلی دادن ، راحتی ، آسایش ، آسودگی
comfortable;مرفه الحال ، آسوده ، راحت ، مرفه
comfortably;براحتی
comforter;روتختخوابی ، لحاف
comforting;تسلی بخش
comic;مضحک
comical;خندهآور
coming;آمدنی ، رفت و آمد
coming at intervals;ادواری
comit language;زبان کامیت
comma;ویرگول ، واوک
command;فرمودن ، تحکم ، امر ، فرمان ، فرماندهی کردن ، فرمان
command and injunction;امر و نهی
command language;زبان فرماندهی
commander;فرمانده ، سردار ، امیر ، امر کننده
commander general;فرماندهی کل
commander in chief;سرفرمانده ، سرفرمانده
commander-in-chief;سپهسالار
commandership;سرداری
commandery;محل فرماندهی
commando;تکاور
commands;احکام
commaner;آمر
commemorate;گرامی داشتن ، بیادگار نگاه داشتن
commemoration;یادگار ، یادبود ، مجلس تذکر ، گرامی داشت
commemorative;یادبودی
commencement;فتح
commendable;قابل تعریف
commendation;سفارش ، تقریظ
commendatory;تعریفی ، تقدیری
commensal;هم سفره
commensurability;هم مقیاسی ، قابلیت قیاس ، هم اندازگی ، همپیمانگی
comment;گفتن ، نظر دادن ، آزادانه بیان کردن
comment card;کارت توضیحی
commentary;سفرنگ
commentator;مفسر ، سفرنگ گر ، شارح
commented on;مفسر
commerce;تجارت ، بازرگانی
commercial;تجارتی
commercial firm;تجارتخانه
commercialize;تجارتی کردن
commerical language;زبان تجاری
comminution;خردسازی
commiserate;اظهار تاسف کردن
commiseration;اظهارتاسف
commissar;کمیسر
commissariat;کمیساریا
commission;کمیسیون ، حقالعمل کار ، کارمزد ، ماموریت دادن
commission fee;حقالعمل
commissure;محل تلاقی
commisural;درزی
commit;متعهدبانجامامری نمودن ، مرتکب شدن ، سر سپردن
commit a crime;دست به جنایت زدن ، جنایت کردن ، جنایت مرتکب شدن ، جرم کردن
commit adultery;زنا کردن
commit injustice;بی عدالتی کردن
commit suicide;خودکشی کردن ، انتحار کردن ، دست به خودکشی زدن ، خود کشی کردن
commit treason;خیانتکردن
commit vanalism;دست به تخریب زدن
commit violence;دست به خشونت زدن
commitment;سرسپردگی
committee;مجلس مشاوره ، کمیسیون ، کمیته
committing;ارتکاب
commix;بهم ریختن
commode;گنجه کشودار ، رختان ، رختدان
commodious;مقرون بصرفه ، بکار خور
commodities;اجناس
commodity;کالا
common;عامه ، عامی
common carier;مکاری
common columbine;اخیلیا
common denominator;مخرج مشترک
common expression;بیان رایج
common field scabious;مامیشا
common library;کتابخانه اشتراکی
common logarithm;لگاریتم طبیعی
common mistletoe;دادواش
common multiple;مضرب مشترک
common noun;اسم علم
common people;عوام
common practice;رسم متداول
common primrose;پامچال
common sense;قضاوت صحیح
common stock;سهام عادی
common valerian;سنبل الطیب
common vanilla;ثعلب
common wormwood;خار گوش
commonly;عرفا ، علیالرسم
commons;مردم عادی
commonweal;مشترک المنافع
commonwealth;مشترک المنافع
commotion;سر و صدا ، علم شنگه ، جنجال ، داد و بیداد ، هیاهو ، آمد ورفت
commove;مضطرب ساختن
communal;اشتراکی
communalism;سیستم اشتراکی
commune;صمیمانه گفتگو کردن ، کمون ، مزرعه اشتراکی
communicability;ارتباط پذیری
communicate;ارتباط برقرار کردن ، ابلاغ کردن ، القاء کردن
communication;مکاتبه ، مرابطه ، ابلاغ
communication channel;مجرای ارتباطی
communication network;شبکه ارتباتی
communication satellite;ماهواره ارتباطی
communication theory;نظریه ارتباطات
communicational;مخابراتی
communications;ارتباطات
communicative;ارتباطی
communicator;رسان
communion;صمیمیت وهمدلی
communism;مسلک اشتراکی ، مرام اشتراکی ، کمونیسم
communist;کمونیست ، کمونیستی ، کمونیست
community;جماعت ، جامعه
community center;مرکز اجتماع
community property;اموال همگانی
communize;اشتراکی کردن ، کمونیستی کردن
commutable;قابل تبدیل
commutator;جابجا گر
commute;رفت و آمد کردن
compact;فشرده ، فشرده کردن
compaction;فشرده سازی
companion;مصاحب ، انیس ، هم نشین ، انباز ، منادم ، یار ، ندیم ، معاشر ، معاشر ، هم مشرب ، هم نشین ، هم رکاب ، جلیس ، هم کلام ، دمساز ، همگام ، همراه ، همدم
companionable;شایسته رفاقت
companions;نزدیکان ، صحابه
companionship;همدمی ، صحابت ، همگامی ، یاری ، مجالست ، منادمت ، مصاحبت
company;معیت ، گروهان ، کمپانی ، شرکت
comparable;قیاس پذیر ، قابل مقایسه ، قابل مقایسه
comparand;قیاس شونده
comparative;مقایسه ای ، تطبیقی ، تفضیلی ، صفت تفضیلی ، درجه تفضیلی
comparatively;بالنسبه
comparator;مقایسه کننده
compare;تشبیه کردن ، تطبیق کردن ، تطبیق نمودن ، برابر کردن ، مقابله کردن ، مقایسه کردن
compare to;در مقابل ، در مقایسه با
compared;مشبه ، ممثل
compared to;نسبت به
comparision;مقابله
comparison;سنجش ، مقایسه ، قیاس ، تشبیه ، مطابقت ، تطبیق ، همسنجی
compartment;کوپه
compartmental;کوپه دار
compass;پرگار ، قطب نما ، حیطه ، دائره کش
compassion;غمخواری ، دلسوزی ، رحم ، رقت ، ترحم ، مروت
compassionate;غم خوار ، پر ترحم ، شفیق ، دلسوز ، رحم دل
compatibility;سازگاری ، همگینی
compatible;سازگار
compatriot;هم وطن
compeer;هم دوش
compel;ملتزم کردن
compelled;ناچار
compendious;مختصر ومفید
compensable;قابل پاداش
compensate;پایاپای کردن ، جبران کردن ، خنثی کردن ، خنثی نمودن
compensation;اجرت ، اجر ، تاوان ، جبران ، حقالزحمه ، غرامت
compensator;اجر دهنده
compensatory;جبرانی
compete;حریف شدن ، مسابقه کردن ، رقیبی کردن ، رقابت داشتن ، رقابت کردن
competence;اهلیت ، لیاقت ، صلاحیت ، شایستگی
competency;کارآیی
competent;صلاحیتدار ، لایق ، صالح ، باعرزه
competetive;مسابقهای
competition;رقابت ، غشه ، مسابقه
competitive;قابل رقابت ، سبقت جو ، رقابتی
competitiveness;مسابقاتی
competitor;رقیب ، رقیب ، هم چشم
competitors;رقبا
compilation;تدوین ، همگردانی
compile;همگرادنی کردن ، مدون کردن
compiler;مولف ، مولف ، همگردان
compiler directive;رهنمود همگردانی
compiler generator;مولد همگردان
compiler language;زبان همگردانی
compiling;تالیف
complacency;خود خوشنودی
complacent;خود خوشنود ، عشرت طلب
complain;گله کردن ، شکایت کردن ، چغلی کردن ، شاکی بودن ، شکوه و شکایت کردن ، شکایت داشتن ، شکوه کردن
complainant;شاکی ، شاکی ، عارض
complainer;منقد
complaining;شاکی ، تشکی ، متظلم ، چغلی
complainning;گله گزاری
complaint;اعتراض ، تظلم ، داد خواست ، دادخواست ، گله ، شکوه ، شکایت
complaintant;متظلم
complaisance;ادب
complement;متمم ، متمم گرفتن
complement form;صورت متممی
complementarity;اصل متممیت
complementary;مکمل ، متممی
complementary angles;زوایای متمم
complementation;متمم گیری
complete;تکمیل ، کامل کردن ، تکمیل کردن ، کامل ، تام ، پرکردن ، به پایان بردن ، تمام عیار ، بحداکثر ، درسته
complete poetical work;دیوان
completed;پرکرده ، مکمل
completely;از حر حیث ، کاملا ، بالکل ، تکمیلاً
completely naked;لخت مادر زاد
completion;اکمال ، اتمام ، تکمل ، انجام ، تکمیل
complex;پیچیده ، تو در تو ، مجتمع ، عقده ، هم تافت ، گروهه
complex number;عدد مختلط
complexion;بشره
complexioned;چرده
complexity;پیچیدگی ، درهمی
compliance;تمکین
compliant;اجابت کننده
complicacy;کار پیچیده
complicate;مشکل کردن ، بغرنج کردن
complication;پیچیدگی ، عارضه
complier;قبول کننده
compliment;تعارف
complimentarily;با تعریف
complimentary;تعارف آمیز ، تعارفی ، بلیط افتخاری
complot;دوزوکلک
comply;بر آوردن ، اجابت کردن
component;مولفه
components;اجزا
comport;جور بودن
compose;تصنیف کردن ، آهنگ ساختن ، تلفیق کردن ، برشته در آوردن ، سرودن ، برشته نظم درآوردن
compose poem;شعر گفتن
composed;خاطرجمع ، متشکل
composer;نواساز ، مصنف ، تنظیم کننده ، نواساز ، آهنگساز ، آهنگ ساز
composiate;مرکبان
composing;تالیف
composing lyric;غزل سرائی
composing stick;ورساد
composition;انشاء ، تصنیف ، قطعه هنری ، ساخت ، تحریر
compositional;انشائی
compositions;مصنفات
compost;کود گیاهی
compotator;هم مشرب ، هم پیاله
compote;کمپوت ، خوشاب
compound;مرکب ، ترکیبی
compound object;جسم مرکب
compound perfume;عبیر ، عنبر
compound sentence;جمله مرکب
comprehend;درک نمودن
comprehensible;قابل درک
comprehension;تفهم ، قوه ادراک ، فهم ، درک
comprehensive;جامع ، عمیم ، فرا گیرنده ، مشروح ، مشروح
comprehensively;مشروحا
comprehensiveness;جامعیت
compress;کمپرس ، متراکمکردن
compressed;فشرده ، متراکم
compression;متراکم سازی ، تراکم ، فشردگی
compressive;فشاریآد ، مایه تراکم ، فشاری
compressor;متراکم کننده ، کمپرسور
comprise;در بر داشتن ، شامل بودن
comprising;متضمن ، شامل
compromise;توافق ، مدارا کردن ، مصالحه کردن ، راه آمدن ، مصالحه ، تراضی
compromiser;متصالح ، سازشکار
compulsory;حتیالاجرا ، جبری ، اجباری
computable;محاسبه پذیر
computation;شمارش
compute;محاسبه کردن
computer;رایانه ، کامپیوتر
computer accountant;حسابگر
computer aided;بکمک کامپیوتر
computer architect;معمار کامپیوتر
